date_main,depot_main,collection_main,dataset_main,count7_main,count30_main,last_queried_main
2022-05-18,icebase,sportsproducts,sports_transactions_data_with_ts,926,6893,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sportsproducts,sports_returns_data_with_ts,1563,6284,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sys01,cloudevents,1373,5986,2022-05-18 07:25:27.800 UTC
2022-05-18,icebase,sportsproducts,sports_productcategories_data_with_ts,1312,6534,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1330,7301,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sportsproducts,sports_salesterritories_data_with_ts,1225,6459,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sportsproducts,sports_customers_data_with_ts,450,5831,2022-05-18 07:27:25.952 UTC
2022-05-18,icebase,sportsproducts,sports_products_data_with_ts,1752,6474,2022-05-18 07:27:25.952 UTC
2022-05-17,icebase,sportsproducts,sports_returns_data_with_ts,1132,7370,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sportsproducts,sports_transactions_data_with_ts,1541,6079,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sportsproducts,sports_productcategories_data_with_ts,1950,6663,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sportsproducts,sports_products_data_with_ts,1928,6532,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sportsproducts,sports_customers_data_with_ts,1738,6533,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sys01,cloudevents,1506,6453,2022-05-17 13:31:35.539 UTC
2022-05-17,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1947,2221,2022-05-17 23:55:06.157 UTC
2022-05-17,icebase,sportsproducts,sports_salesterritories_data_with_ts,1558,6281,2022-05-17 23:55:06.157 UTC
2022-05-16,icebase,sportsproducts,sports_products_data_with_ts,1562,6288,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sys01,cloudevents,1547,7095,2022-05-16 14:09:05.158 UTC
2022-05-16,icebase,sportsproducts,sports_customers_data_with_ts,1957,7169,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sportsproducts,sports_productcategories_data_with_ts,1945,6939,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sportsproducts,sports_salesterritories_data_with_ts,1949,7165,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1535,6679,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sportsproducts,sports_returns_data_with_ts,1536,6671,2022-05-16 23:57:02.953 UTC
2022-05-16,icebase,sportsproducts,sports_transactions_data_with_ts,1946,3051,2022-05-16 23:57:02.953 UTC
2022-05-15,icebase,sportsproducts,sports_salesterritories_data_with_ts,1545,6343,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_customers_data_with_ts,1510,6453,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_transactions_data_with_ts,1528,7351,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1941,6939,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_returns_data_with_ts,1664,6206,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_products_data_with_ts,1945,3329,2022-05-15 23:55:59.383 UTC
2022-05-15,icebase,sportsproducts,sports_productcategories_data_with_ts,1932,6531,2022-05-15 23:55:59.383 UTC
2022-05-14,icebase,sportsproducts,sports_products_data_with_ts,574,5989,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_salesterritories_data_with_ts,1117,7085,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_customers_data_with_ts,1486,6892,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_transactions_data_with_ts,1204,6892,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_returns_data_with_ts,841,6625,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1948,6501,2022-05-14 23:56:09.789 UTC
2022-05-14,icebase,sportsproducts,sports_productcategories_data_with_ts,1946,1946,2022-05-14 23:56:09.789 UTC
2022-05-13,icebase,sportsproducts,sports_customers_data_with_ts,853,6268,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_products_data_with_ts,1666,6493,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_transactions_data_with_ts,1399,6659,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1944,6719,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_salesterritories_data_with_ts,1677,6665,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_returns_data_with_ts,1136,7371,2022-05-13 23:56:05.901 UTC
2022-05-13,icebase,sportsproducts,sports_productcategories_data_with_ts,561,5687,2022-05-13 23:56:05.901 UTC
2022-05-12,icebase,sys01,cloudevents,977,7079,2022-05-12 06:26:02.169 UTC
2022-05-12,icebase,sportsproducts,sports_customers_data_with_ts,978,7079,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_returns_data_with_ts,1105,1105,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_productsubcategories_data_with_ts,551,551,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_productcategories_data_with_ts,1116,6901,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_salesterritories_data_with_ts,828,828,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_products_data_with_ts,995,5821,2022-05-12 23:57:01.671 UTC
2022-05-12,icebase,sportsproducts,sports_transactions_data_with_ts,977,6255,2022-05-12 23:57:01.671 UTC
2022-05-11,icebase,sportsproducts,sports_products_data_with_ts,1392,6722,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,sportsproducts,sports_productcategories_data_with_ts,833,6343,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,sys01,cloudevents,1668,6266,2022-05-11 11:16:09.804 UTC
2022-05-11,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1387,6491,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,sportsproducts,sports_transactions_data_with_ts,1001,7372,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,sportsproducts,sports_returns_data_with_ts,1121,6464,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,minerva_events,daily_dataset_distinct_query_info,1670,3333,2022-05-11 08:00:17.647 UTC
2022-05-11,icebase,sportsproducts,sports_salesterritories_data_with_ts,982,6534,2022-05-11 23:57:51.238 UTC
2022-05-11,icebase,sportsproducts,sports_customers_data_with_ts,1116,6529,2022-05-11 23:57:51.238 UTC
2022-05-10,icebase,minerva_events,daily_dataset_distinct_query_info,1142,6654,2022-05-10 14:00:54.913 UTC
2022-05-10,icebase,sportsproducts,sports_salesterritories_data_with_ts,1666,7369,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sportsproducts,sports_productsubcategories_data_with_ts,1267,5818,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sportsproducts,sports_productcategories_data_with_ts,1941,6943,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sportsproducts,sports_returns_data_with_ts,1199,6888,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sportsproducts,sports_products_data_with_ts,722,5827,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sys01,cloudevents,1531,6663,2022-05-10 13:58:32.179 UTC
2022-05-10,icebase,sportsproducts,sports_customers_data_with_ts,1941,2769,2022-05-10 23:55:47.376 UTC
2022-05-10,icebase,sportsproducts,sports_transactions_data_with_ts,1110,6214,2022-05-10 23:55:47.376 UTC
2022-05-09,icebase,sportsproducts,sports_transactions_data_with_ts,574,6262,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sportsproducts,sports_salesterritories_data_with_ts,1665,6722,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,minerva_events,daily_dataset_distinct_query_info,1129,6914,2022-05-09 13:20:21.665 UTC
2022-05-09,icebase,sportsproducts,sports_customers_data_with_ts,274,274,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sportsproducts,sports_productcategories_data_with_ts,1944,2495,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sys01,cloudevents,643,6020,2022-05-09 13:16:57.683 UTC
2022-05-09,icebase,sportsproducts,sports_products_data_with_ts,837,5940,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sportsproducts,sports_returns_data_with_ts,825,6067,2022-05-09 23:54:38.743 UTC
2022-05-09,icebase,sportsproducts,sports_productsubcategories_data_with_ts,282,5683,2022-05-09 23:54:38.743 UTC
2022-05-08,icebase,sportsproducts,sports_salesterritories_data_with_ts,1384,1384,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_transactions_data_with_ts,1663,1663,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_productsubcategories_data_with_ts,980,6533,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_customers_data_with_ts,1946,6715,2022-05-08 23:58:29.210 UTC
2022-05-08,icebase,sportsproducts,sports_products_data_with_ts,1139,7372,2022-05-08 23:58:29.210 UTC
