date_user,depot_user,collection_user,dataset_user,users_user,frequent_users_user,user_info_user
2022-05-18,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1547,count_queries_30_days:1574}"
2022-05-18,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1457,count_queries_30_days:1485}"
2022-05-18,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1098,count_queries_30_days:2216}"
2022-05-18,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1492,count_queries_30_days:2336}"
2022-05-18,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1295,count_queries_30_days:4876}"
2022-05-18,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1479,count_queries_30_days:4786}"
2022-05-18,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 08:00:27.522 UTC,query_count:91,count_queries_7_days:1187,count_queries_30_days:1211}"
2022-05-18,icebase,sys01,cloudevents,"""darpanvyas""","""darpanvyas""","{user:""darpanvyas"",last_queried_at:2022-05-18 07:34:56.072 UTC,query_count:11,count_queries_7_days:1665,count_queries_30_days:5830}"
2022-05-17,icebase,sys01,cloudevents,"""darpanvyas""","""darpanvyas""","{user:""darpanvyas"",last_queried_at:2022-05-17 13:31:35.539 UTC,query_count:56,count_queries_7_days:607,count_queries_30_days:631}"
2022-05-17,icebase,sportsproducts,sports_customers_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:2092}"
2022-05-17,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1976}"
2022-05-17,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1641,count_queries_30_days:1641}"
2022-05-17,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:274,count_queries_30_days:274}"
2022-05-17,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:35}"
2022-05-17,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:554,count_queries_30_days:1404}"
2022-05-17,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1372,count_queries_30_days:1399}"
