date_user,depot_user,collection_user,dataset_user,frequent_users_user,user_info_user
2022-05-12,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:1652,count_queries_30_days:2757},{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:1107,count_queries_30_days:1135}"
2022-05-17,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-17 23:55:06.157 UTC,query_count:274,count_queries_7_days:1656,count_queries_30_days:3031},{user:""yogeshkhangode"",last_queried_at:2022-05-17 18:45:52.816 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:35}"
2022-05-07,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-07 23:55:54.678 UTC,query_count:278,count_queries_7_days:1388,count_queries_30_days:4438},{user:""yogeshkhangode"",last_queried_at:2022-05-07 18:45:40.900 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:3572}"
2022-05-04,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-04 23:55:28.381 UTC,query_count:279,count_queries_7_days:1666,count_queries_30_days:4717},{user:""yogeshkhangode"",last_queried_at:2022-05-04 18:45:14.304 UTC,query_count:1,count_queries_7_days:1103,count_queries_30_days:5820}"
2022-04-30,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-30 23:57:43.636 UTC,query_count:274,count_queries_7_days:1100,count_queries_30_days:6094},{user:""yogeshkhangode"",last_queried_at:2022-04-30 18:45:30.253 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:35}"
2022-05-01,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-01 18:45:49.196 UTC,query_count:1,count_queries_7_days:436,count_queries_30_days:4589},{user:""shubhanshujain"",last_queried_at:2022-05-01 23:55:03.079 UTC,query_count:268,count_queries_7_days:1223,count_queries_30_days:3181}"
2022-04-27,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-27 18:45:02.771 UTC,query_count:1,count_queries_7_days:162,count_queries_30_days:4304},{user:""shubhanshujain"",last_queried_at:2022-04-27 23:58:16.047 UTC,query_count:277,count_queries_7_days:1663,count_queries_30_days:4455}"
2022-05-15,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-15 18:46:45.898 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:2092},{user:""shubhanshujain"",last_queried_at:2022-05-15 23:55:59.383 UTC,query_count:277,count_queries_7_days:838,count_queries_30_days:2251}"
2022-05-09,icebase,sportsproducts,sports_transactions_data_with_ts,"""darpanvyas"",""yogeshkhangode"",""shubhanshujain"",""animeshkumar""","{user:""darpanvyas"",last_queried_at:2022-05-09 13:24:46.092 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:1825},{user:""yogeshkhangode"",last_queried_at:2022-05-09 18:45:25.269 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:4838},{user:""shubhanshujain"",last_queried_at:2022-05-09 23:54:38.743 UTC,query_count:270,count_queries_7_days:1373,count_queries_30_days:1542},{user:""animeshkumar"",last_queried_at:2022-05-09 12:24:51.064 UTC,query_count:2,count_queries_7_days:8,count_queries_30_days:1910}"
2022-04-24,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-24 18:45:56.724 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1549},{user:""shubhanshujain"",last_queried_at:2022-04-24 23:58:09.968 UTC,query_count:274,count_queries_7_days:1911,count_queries_30_days:5887}"
